"名称","住所","MTENO","LinkNo","経度","緯度","分類"
"","","6","2474","135.532663295905","34.0819453434077","埋蔵文化財包蔵地_点"
"","","16","3438","135.543733610659","34.0440877779278","埋蔵文化財包蔵地_点"
"","","7","3620","135.582124401536","33.6527521618532","埋蔵文化財包蔵地_点"
"","","11","3491","135.54374906846","33.7040126383561","埋蔵文化財包蔵地_点"
"","","4","3482","135.599435640503","33.6998564214579","埋蔵文化財包蔵地_点"
"","","3","3481","135.574618793904","33.7097795528049","埋蔵文化財包蔵地_点"
"","","15","3437","135.58346527811","34.0036427779248","埋蔵文化財包蔵地_点"
"","","17","3451","135.562897395161","33.871842523946","埋蔵文化財包蔵地_点"
"","","42","3466","135.550914999578","33.8679997217778","埋蔵文化財包蔵地_点"
"","","14","3436","135.55836916737","34.0030116667214","埋蔵文化財包蔵地_点"
"","","7","3485","135.595058333233","33.7189027780736","埋蔵文化財包蔵地_点"
"","","5","3483","135.587818543784","33.7421773644807","埋蔵文化財包蔵地_点"
"","","2","3480","135.588607568651","33.7447932955627","埋蔵文化財包蔵地_点"
"","","13","3493","135.5882169782","33.7461500205081","埋蔵文化財包蔵地_点"
"","","18","3498","135.58037433652","33.7201325283249","埋蔵文化財包蔵地_点"
"","","7","3429","135.561221500421","34.000970721752","埋蔵文化財包蔵地_点"
"","","8","3430","135.554272213284","33.9422671717456","埋蔵文化財包蔵地_点"
"","","5","3427","135.536574999982","33.9332550003178","埋蔵文化財包蔵地_点"
"","","24","3453","135.604160277988","33.816331110902","埋蔵文化財包蔵地_点"
"","","18","3452","135.587475832667","33.8016710793385","埋蔵文化財包蔵地_点"
"","","52","3476","135.537779782927","33.7969196291291","埋蔵文化財包蔵地_点"
"","","43","3467","135.603259844595","33.8245707008431","埋蔵文化財包蔵地_点"
"","","19","2185","135.567100688121","34.3123774831952","埋蔵文化財包蔵地_点"
"","","4","2170","135.564779843761","34.3119918187055","埋蔵文化財包蔵地_点"
"","","20","2186","135.561320925086","34.3116568985145","埋蔵文化財包蔵地_点"
