"名称_1","住所","天LinkNo","番号","地図","指定等区分","指定種別","名称_2","めいしょう","指定年月日","所在地","所有者（菅","備考","市町村CD","市町村地区","経度","緯度","分類"
"","","392","3.000000","61図","国指定","史跡","下里古墳","しもさとこふん","昭51.2.24","下里356-1・2、357-1・2、1526-1・2、1526-2の西側に接する道路敷を含む","那智勝浦町","","27","那智勝浦町","135.922668740837","33.5842154225933","史跡_名勝_天然記念物_面"
"","","162","3.000000","15図","県指定","史跡","椒の古墳","はじかみのこふん","昭33.4.1","初島町浜経塚978","有田市","","10","有田市","135.120408665727","34.1058882625934","史跡_名勝_天然記念物_面"
"","","9999","0.000000","","","","","","","","","","","","135.311674943657","34.2472002901527","史跡_名勝_天然記念物_面"
"","","9999","0.000000","","","","","","","","","","","","135.311785090845","34.2470066318499","史跡_名勝_天然記念物_面"
"","","9999","0.000000","","","","","","","","","","","","135.311618333959","34.2473790472842","史跡_名勝_天然記念物_面"
"","","3","3.000000","10図","国指定","史跡","四箇郷一里塚","しかごいちりづか","昭15.7.12","新在家125,140","（和歌山市）","","01","和歌山市","135.20079288187","34.2448315021499","史跡_名勝_天然記念物_面"
"","","16","16.000000","11図","県指定","天然記念物","椿の巨樹","つばきのきょじゅ","昭33.4.1","木枕335","個人","1本","01","和歌山市","135.259227205597","34.2096081815867","史跡_名勝_天然記念物_面"
"","","17","17.000000","10図","県指定","天然記念物","岡山の根上り松群","おかやまのねあがりまつぐん","昭33.4.1","吹上1丁目4番1号和歌山大学教育学部付属小学校グランド内","和歌山大学","1株","01","和歌山市","135.173446287351","34.223658873804","史跡_名勝_天然記念物_面"
"","","20","20.000000","10図","県指定","天然記念物","鷹の巣","たかのす","昭34.4.23","雑賀崎地番外","和歌山市","","01","和歌山市","135.141035001116","34.1879624522002","史跡_名勝_天然記念物_面"
"","","25","25.000000","10図","県指定","天然記念物","若宮八幡神社のボダイジュ","わかみやはちまんじんじゃのぼだいじゅ","昭44.4.23","有本栗林635-1","若宮八幡神社","1株","01","和歌山市","135.190823855816","34.2480621431307","史跡_名勝_天然記念物_面"
"","","73","3.000000","7図","県指定","天然記念物","加茂神社の公孫樹","かもじんじゃのいちょうのき","昭33.4.1","西川原308","中地区","1株","04","紀の川市粉河地区","135.430444924445","34.3096849326907","史跡_名勝_天然記念物_面"
"","","364","13.000000","","県指定","史跡","神倉山付石段「下馬」標石（付指定のみ県指定）","かみくらやまつけたりいしだん「げば」ひょうせき","昭44.4．23","権現山神倉神社境内","熊野速玉大社","","25","新宮市新宮地区","135.9842807692","33.7243706392103","史跡_名勝_天然記念物_面"
"","","145","16.000000","","県指定","史跡","豊臣家墓所","とよとみけぼしょ","昭33.4.1","高野山奥之院墓地","金剛峯寺","","09","高野町","135.605467774827","34.220884965958","史跡_名勝_天然記念物_面"
