"名称","住所","linkNo","遺跡番号","地図","遺跡名","いせきめい","所在地","種別","時代","立地","遺跡概況","備考","市町村C","経度","緯度","分類"
"","","70","79","5図","有功古墳","いさおこふん","六十谷","古墳","古墳","丘陵","円墳","","01 和歌山市","135.202926446421","34.2704559293149","埋蔵文化財包蔵地_面"
"","","71","80","5図","大同寺墳墓","だいどうじふんぼ","六十谷","墳墓","奈良","丘陵","石櫃、金銅製蔵骨器","","01 和歌山市","135.203371712681","34.2692549868441","埋蔵文化財包蔵地_面"
"","","72","81","5図","大同寺古墳","だいどうじこふん","六十谷","古墳","古墳","丘陵","須恵器（家型はそう、台付壺、壺）、勾玉、刀","","01 和歌山市","135.20323328495","34.2687340042432","埋蔵文化財包蔵地_面"
"","","402","67","5図","雨が谷4号墳","0","大谷","古墳","古墳","丘陵","方墳","","01 和歌山市","135.180673160082","34.2623074520908","埋蔵文化財包蔵地_面"
"","","421","98","5図","北山1号墳","0","直川","古墳","古墳","山腹","前方後円墳","","01 和歌山市","135.213822578079","34.2711154004316","埋蔵文化財包蔵地_面"
"","","423","100","5図","北山3号墳","0","直川","古墳","古墳","山腹","円墳","","01 和歌山市","135.214459256587","34.2712195911376","埋蔵文化財包蔵地_面"
"","","424","101","5図","北山4号墳","0","直川","古墳","古墳","山腹","円墳","","01 和歌山市","135.215193747263","34.2712060673651","埋蔵文化財包蔵地_面"
"","","422","99","5図","北山2号墳","0","直川","古墳","古墳","山腹","円墳","","01 和歌山市","135.213900156874","34.2704509369788","埋蔵文化財包蔵地_面"
"","","426","104","5図","北山6号墳","0","直川","古墳","古墳","山腹","方墳","","01 和歌山市","135.218344178439","34.2711706836882","埋蔵文化財包蔵地_面"
"","","425","102","5図","北山5号墳","0","直川","古墳","古墳","山腹","円墳","","01 和歌山市","135.215805068475","34.2712349612267","埋蔵文化財包蔵地_面"
"","","428","105","5図","直川八幡山1号墳","0","直川","古墳","古墳","山腹","円墳","","01 和歌山市","135.220590108819","34.2705016596801","埋蔵文化財包蔵地_面"
"","","437","113","5図","直川八幡山9号墳","0","直川","古墳","古墳","山腹","円墳","","01 和歌山市","135.225461315899","34.2730847877935","埋蔵文化財包蔵地_面"
"","","436","112","5図","直川八幡山8号墳","0","直川","古墳","古墳","山腹","円墳","","01 和歌山市","135.225078073277","34.2730186109502","埋蔵文化財包蔵地_面"
"","","441","117","5図","直川八幡山13号墳","0","直川","古墳","古墳","山腹","円墳","","01 和歌山市","135.226718032015","34.2718148023494","埋蔵文化財包蔵地_面"
"","","438","114","5図","直川八幡山10号墳","0","直川","古墳","古墳","山腹","円墳","","01 和歌山市","135.225876412824","34.2730580497165","埋蔵文化財包蔵地_面"
"","","431","108","5図","直川八幡山4号墳","0","直川","古墳","古墳","山腹","円墳","","01 和歌山市","135.222129823243","34.272245904948","埋蔵文化財包蔵地_面"
